category,layer,indomain,urls
7,0,1,https://tw.beanfun.com/
7,0,1,https://www.4gamers.com.tw/news/tag/%E5%8F%B0%E7%81%A3%E7%8D%A8%E7%AB%8B%E9%81%8A%E6%88%B2
7,0,1,https://news.gamebase.com.tw/
7,0,1,https://hackmd.io/@Eggheadboy/r1u4H_ww8
7,0,1,https://www.playstation.com/zh-hant-tw/games/genshin-impact/
7,0,1,https://www.hbo.com/game-of-thrones
7,0,1,https://www.nintendo.tw/switch/as8sa/
7,0,1,https://www.i-gamer.net/web/?Tag=%C3z%C3z%A4%FD
7,0,1,https://www.playstation.com/zh-hant-tw/ps5/
7,0,1,https://asia.sega.com/kimetsu_hinokami/cht/switch/
