exist,shorturl,layer,category,indomain,image_name,decode_url,unshorten_url,image_urls
True,False,3,3,0,c1e4a088f99954841fa7c5cdfcc61eb9398d0d4b.jpg,https://qrco.de/bbASJs,https://qrco.de/bbASJs,https://cc.tvbs.com.tw/img/upload/2022/01/20/20220120134554-88d00f7c.jpg
True,False,3,3,1,c3eb3627c8ac628c2dee9f94b045f2d7f745d8f7.png,http://kaywa.me/0oXfm,http://kaywa.me/0oXfm,https://www.ey.gov.tw/Template/EY/images/ey.png
True,False,3,3,0,d1db4e289cb1ebe5e38845f466034822bfd7eae9.png,https://t.me/moztwCV,https://t.me/moztwCV,https://cdn-images-1.medium.com/max/1024/1*3XglDYNH6OH6CRepAyQNRA.png
True,True,3,3,1,667e15792e450675573b608a27e1169a631d918e.jpg,https://bit.ly/35JHxRC,https://linktr.ee/ettoday.podcast?utm_source=mrt&utm_medium=lightbox&utm_campaign=podcast,https://cdn2.ettoday.net/images/businessTopic/9/9129_photo.jpg
True,False,3,3,1,2e1b5dfb8e903a446738a3ae2e7f54d0899ef2a2.jpg,https://t.me/eragoodlife,https://t.me/eragoodlife,https://cdn2.ettoday.net/images/6435/6435768.jpg
True,False,3,3,1,a7c3d63fac990011a962bb2afbe0e21c74932943.jpg,https://qrco.de/bcRvMp,https://qrco.de/bcRvMp,https://display.worldjournal.com/bo/wp-content/uploads/sites/4/2021/10/DC00228506001.jpg
True,False,3,3,0,50d98b9a6b223583324232371a9fc64ac1982e50,https://t.me/dtc8879,https://t.me/dtc8879,https://vip.cens.com/cens/supplier/7548/BRIEF2.png?xxx=1655170712068
True,False,3,3,1,de19f45887260262de5f4794a7247433d557154c.jpg,https://t.me/dtc8879,https://t.me/dtc8879,https://www.cens.com/cens/supplier/7548/product/183632/3DPF_C_dt-55.jpg
True,False,3,3,1,ba91c3cda5d3726c550425361a7459a4819f451a.jpg,https://api.whatsapp.com/send?phone=886966503602,https://api.whatsapp.com/send?phone=886966503602,https://www.cens.com/cens/publication/32/1555/220867_l.jpg
True,False,3,3,1,e1150120f8fa39dbcec77a4c3e6f500cf8fdcf84.jpg,https://api.whatsapp.com/send?phone=886966503602,https://api.whatsapp.com/send?phone=886966503602,https://www.cens.com/cens/publication/72/1544/PPIC_220609_l.jpg
True,False,3,3,1,2ec85ee453bb15d8a5c2d79529c8b0ff31b8d102.jpg,http://qr.net/j0m5,http://qr.net/j0m5,https://www.cens.com/cens/publication/54/1561/PPIC_221101_l.jpg
True,False,3,3,1,90f4d9238b674b470ed0e0899e1da763366654a7.jpg,http://kaywa.me/Ms1XR,http://kaywa.me/Ms1XR,https://www.cens.com/cens/publication/29/1557/221020_l.jpg
True,False,3,3,1,c5df2f52aebd647feae27a0d225dd225ae01f4d9.jpg,http://qr.net/j0m5,http://qr.net/j0m5,https://www.cens.com//cens/publication/54/1561/PPIC_221101_l.jpg
True,False,3,3,0,0de0a9c1fe473bd9240a431542f841ff39574971.jpg,https://l.ead.me/bbFyOF,https://l.ead.me/bbFyOF,https://s.yimg.com/cv/apiv2/cd/images/IMG_9800.jpg
True,False,3,3,0,ccf2616db015a67290a1713fcc23e0b89b1f2400,https://t.me/bbhomecare,https://t.me/bbhomecare,https://ec.yimg.com/ec?url=http%3A%2F%2Fbbhomecare5888.banner.tw%2FYAHOO%2520SS%2Fservice1.jpg&t=1659007200&ttl=400&mas=600&sig=3ynRlkrhOTubglHEDmXFQg--~E
True,False,3,3,0,b0b18c69a0f48fb2ada92dcab95f8245c16a1745,https://t.me/bbhomecare,https://t.me/bbhomecare,https://ec.yimg.com/ec?url=http%3A%2F%2Fbbhomecare5888.banner.tw%2FYAHOO%2520SS%2Fservice1.jpg&t=1659192300&ttl=400&mas=600&sig=kfoi2KnrAnBgok.1.o5CGg--~E
True,False,3,3,0,5879710f5640e10e318064e7135ea8f612f81297,https://t.me/bbhomecare,https://t.me/bbhomecare,https://ec.yimg.com/ec?url=http%3A%2F%2Fbbhomecare5888.banner.tw%2FYAHOO%2520SS%2Fservice1.jpg&t=1659200400&ttl=400&mas=600&sig=n3Yxr3OAOYd4LftGeIvhGQ--~E
True,False,3,3,0,4796671ece2fa4a4eebdb2e86c7937da1a1ed6d4.jpg,https://storage.googleapis.com/new-qr-code/20180213-QR.html,https://storage.googleapis.com/new-qr-code/20180213-QR.html,https://storage.googleapis.com/about_other/20171006-%E5%95%86%E5%9F%8E%E8%B3%BC%E7%89%A9%E6%8F%90%E9%86%92.jpg
True,False,3,3,0,ea3136ca1cee2659741e2b9e9105f58efd927c16,https://t.me/bbhomecare,https://t.me/bbhomecare,https://ec.yimg.com/ec?url=http%3A%2F%2Fbbhomecare5888.banner.tw%2FYAHOO%2520SS%2Fservice1.jpg&t=1659352500&ttl=400&mas=600&sig=_CnvZm.6pDZtd7N2bLNe3w--~E
True,False,3,3,1,d25a1e839c1901130336964719b1a1a31c12e8ad.jpg,https://urlzs.com/YWsMh,https://urlzs.com/YWsMh,http://www.worldjournal.net/wp-content/uploads/2019/11/NY00005241000-1.jpg
True,False,3,3,0,350aff1d149f89a9d209e4adeb8b1b4e3bfc89f1,https://drive.google.com/file/d/0B7canWVceYDaSk1CMEhDejZPMWs/view?usp=sharing,https://drive.google.com/file/d/0B7canWVceYDaSk1CMEhDejZPMWs/view?usp=sharing,https://i0.wp.com/dl.dropbox.com/s/eautcaml3c0ip8p/0914NEWBIKECH.jpg?dl=0
True,False,3,3,0,f1a754e8c1591195e3c8337a309a4a062d0ac8e5,https://t.me/bbhomecare,https://t.me/bbhomecare,https://ec.yimg.com/ec?url=http%3A%2F%2Fbbhomecare5888.banner.tw%2FYAHOO%2520SS%2Fservice1.jpg&t=1661349900&ttl=400&mas=600&sig=2vH9SBwJK9pMeyyU7.Z8Rw--~E
True,False,3,3,1,beccba330b66e03b3abe6e852c26ba093a8c1700,https://drive.google.com/file/d/1nIPMhxRyNEvbdM9zFoxatqypHH_dxGtJ/view?usp=sharing,https://drive.google.com/file/d/1nIPMhxRyNEvbdM9zFoxatqypHH_dxGtJ/view?usp=sharing,https://school.taicca.tw/sites/default/files/styles/event_list/public/civicrm/custom/NO.03-Banner_3_INMfVPvN.jpg?itok=7t1RiMDA
True,False,3,3,0,1c3685bfd37e3bec1052a0fe5c600e01d22ead2f.jpg,https://qrco.de/bbtPJX,https://qrco.de/bbtPJX,https://s.yimg.com/mm/Files/c22b71261275de67579b1c5c684dae466552870f_1200x16663.jpg
True,False,3,3,0,4258887f9ea8364769263f108d0eccb74ba716e8,https://t.me/bbhomecare,https://t.me/bbhomecare,https://ec.yimg.com/ec?url=http%3A%2F%2Fbbhomecare5888.banner.tw%2FYAHOO%2520SS%2Fservice1.jpg&t=1661652900&ttl=400&mas=600&sig=PI47dWMv1SB.2KHPUcBJkg--~E
True,False,3,3,0,8bdec2750ecc17a40d1dc67162d2875146afddd9,https://t.me/bbhomecare,https://t.me/bbhomecare,https://ec.yimg.com/ec?url=http%3A%2F%2Fbbhomecare5888.banner.tw%2FYAHOO%2520SS%2Fservice1.jpg&t=1661660100&ttl=400&mas=600&sig=JIYUYejaEG4zoML0IAMaDw--~E
True,False,3,3,0,9da8eb76d0b9ac79efcb6ad9a6f16516c9a109ff,https://qrco.de/bbCy4D,https://qrco.de/bbCy4D,https://cimg.pcstore.com.tw/cprd/C1406951374/14.png?pimg=static&P=1565575892
True,False,3,3,0,2c3eed438d34c4856dfd4b7042aeb77fc20f38c8,https://t.me/bbhomecare,https://t.me/bbhomecare,https://ec.yimg.com/ec?url=http%3A%2F%2Fbbhomecare5888.banner.tw%2FYAHOO%2520SS%2Fservice1.jpg&t=1661681100&ttl=400&mas=600&sig=IW8zijST0RcjkXRqp2zRCA--~E
True,False,3,3,0,7f08438e91ec193bf9c282231749e0e9b24b3d7e.jpg,https://drive.google.com/open?id=1ahUVF40Ms754a5gsNuyqZr2gW581WLZ8,https://drive.google.com/open?id=1ahUVF40Ms754a5gsNuyqZr2gW581WLZ8,https://s.yimg.com/zp/MerchandiseImages/E5B3DCEE03-SP-11006524.jpg
True,False,3,3,1,ed117266b1fdc8122cdf7e509b223c69999fb6d7.png,https://forms.office.com/Pages/ResponsePage.aspx?id=ExuewAGxzEydmwURinGFkTRfxEPzGHZFsZguxy9a6k9UNEI0WEpINFdLTU5OQlkyUFA0UjVKTkRaWC4u&wdLOR=cF9D0CA23-F57A-4113-9AB3-47C49AB272C0,https://forms.office.com/Pages/ResponsePage.aspx?id=ExuewAGxzEydmwURinGFkTRfxEPzGHZFsZguxy9a6k9UNEI0WEpINFdLTU5OQlkyUFA0UjVKTkRaWC4u&wdLOR=cF9D0CA23-F57A-4113-9AB3-47C49AB272C0,https://newsletter.sinica.edu.tw/wp-content/uploads/2022/03/Stand-With-Ukraine-Poster2-724x1024.png
